Id,Category
12000,pop
12001,rock
12002,pop
12003,pop
12004,rock
12005,pop
12006,pop
12007,pop
12008,pop
12009,pop
12010,pop
12011,rock
12012,rock
12013,pop
12014,rock
12015,pop
12016,pop
12017,pop
12018,pop
12019,pop
12020,pop
12021,pop
12022,pop
12023,pop
12024,pop
12025,pop
12026,pop
12027,rock
12028,pop
12029,pop
12030,pop
12031,pop
12032,pop
12033,pop
12034,pop
12035,pop
12036,rock
12037,pop
12038,pop
12039,pop
12040,pop
12041,pop
12042,pop
12043,pop
12044,pop
12045,pop
12046,pop
12047,pop
12048,pop
12049,pop
12050,pop
12051,pop
12052,pop
12053,pop
12054,pop
12055,pop
12056,pop
12057,rock
12058,pop
12059,pop
12060,pop
12061,alternative
12062,pop
12063,pop
12064,pop
12065,pop
12066,pop
12067,pop
12068,pop
12069,pop
12070,rock
12071,pop
12072,pop
12073,pop
12074,pop
12075,pop
12076,pop
12077,pop
12078,pop
12079,rock
12080,pop
12081,pop
12082,pop
12083,pop
12084,pop
12085,pop
12086,pop
12087,pop
12088,pop
12089,rock
12090,pop
12091,rock
12092,pop
12093,pop
12094,rock
12095,pop
12096,pop
12097,rock
12098,pop
12099,rock
12100,pop
12101,pop
12102,pop
12103,pop
12104,pop
12105,pop
12106,pop
12107,pop
12108,pop
12109,pop
12110,pop
12111,pop
12112,pop
12113,rock
12114,pop
12115,pop
12116,pop
12117,rock
12118,pop
12119,rock
12120,rock
12121,pop
12122,pop
12123,pop
12124,pop
12125,rock
12126,pop
12127,pop
12128,pop
12129,pop
12130,pop
12131,pop
12132,pop
12133,rock
12134,pop
12135,pop
12136,pop
12137,rock
12138,pop
12139,pop
12140,pop
12141,pop
12142,pop
12143,pop
12144,pop
12145,rock
12146,pop
12147,pop
12148,rock
12149,rock
12150,pop
12151,rock
12152,pop
12153,pop
12154,pop
12155,pop
12156,pop
12157,rock
12158,pop
12159,pop
12160,alternative
12161,rock
12162,pop
12163,pop
12164,pop
12165,pop
12166,pop
12167,pop
12168,pop
12169,pop
12170,pop
12171,rock
12172,pop
12173,pop
12174,pop
12175,pop
12176,pop
12177,pop
12178,pop
12179,rock
12180,pop
12181,pop
12182,pop
12183,rock
12184,rock
12185,pop
12186,pop
12187,pop
12188,pop
12189,pop
12190,pop
12191,pop
12192,pop
12193,rock
12194,rock
12195,pop
12196,rock
12197,pop
12198,rock
12199,pop
12200,pop
12201,pop
12202,pop
12203,pop
12204,rock
12205,rock
12206,pop
12207,rock
12208,pop
12209,pop
12210,pop
12211,pop
12212,pop
12213,pop
12214,pop
12215,pop
12216,pop
12217,pop
12218,pop
12219,pop
12220,rock
12221,pop
12222,pop
12223,pop
12224,pop
12225,rock
12226,pop
12227,pop
12228,pop
12229,pop
12230,pop
12231,pop
12232,pop
12233,rock
12234,pop
12235,rock
12236,pop
12237,pop
12238,pop
12239,pop
12240,rock
12241,pop
12242,pop
12243,alternative
12244,pop
12245,pop
12246,rock
12247,pop
12248,rock
12249,pop
12250,rock
12251,rock
12252,pop
12253,rock
12254,pop
12255,alternative
12256,pop
12257,pop
12258,pop
12259,rock
12260,rock
12261,pop
12262,pop
12263,pop
12264,rock
12265,pop
12266,rock
12267,pop
12268,pop
12269,pop
12270,pop
12271,pop
12272,pop
12273,pop
12274,pop
12275,pop
12276,pop
12277,pop
12278,pop
12279,pop
12280,pop
12281,rock
12282,pop
12283,pop
12284,pop
12285,pop
12286,pop
12287,pop
12288,rock
12289,pop
12290,pop
12291,pop
12292,pop
12293,pop
12294,rock
12295,pop
12296,rock
12297,pop
12298,rock
12299,pop
12300,rock
12301,rock
12302,pop
12303,pop
12304,pop
12305,pop
12306,pop
12307,pop
12308,pop
12309,pop
12310,pop
12311,rock
12312,rock
12313,pop
12314,rock
12315,pop
12316,pop
12317,pop
12318,pop
12319,pop
12320,pop
12321,pop
12322,pop
12323,pop
12324,pop
12325,rock
12326,pop
12327,rock
12328,pop
12329,pop
12330,pop
12331,pop
12332,pop
12333,rock
12334,rock
12335,pop
12336,pop
12337,pop
12338,pop
12339,pop
12340,pop
12341,pop
12342,rock
12343,pop
12344,pop
12345,pop
12346,pop
12347,pop
12348,pop
12349,pop
12350,rock
12351,pop
12352,pop
12353,rock
12354,pop
12355,rock
12356,pop
12357,pop
12358,pop
12359,pop
12360,pop
12361,pop
12362,pop
12363,pop
12364,pop
12365,pop
12366,rock
12367,rock
12368,pop
12369,pop
12370,pop
12371,pop
12372,alternative
12373,rock
12374,pop
12375,pop
12376,pop
12377,pop
12378,pop
12379,rock
12380,pop
12381,alternative
12382,pop
12383,pop
12384,pop
12385,pop
12386,pop
12387,pop
12388,pop
12389,pop
12390,pop
12391,pop
12392,pop
12393,pop
12394,rock
12395,pop
12396,pop
12397,pop
12398,rock
12399,pop
12400,pop
12401,rock
12402,pop
12403,pop
12404,rock
12405,pop
12406,rock
12407,pop
12408,pop
12409,pop
12410,pop
12411,pop
12412,pop
12413,rock
12414,rock
12415,rock
12416,pop
12417,pop
12418,pop
12419,rock
12420,pop
12421,pop
12422,pop
12423,rock
12424,pop
12425,rock
12426,pop
12427,rock
12428,pop
12429,rock
12430,pop
12431,pop
12432,pop
12433,pop
12434,rock
12435,rock
12436,pop
12437,pop
12438,pop
12439,pop
12440,pop
12441,pop
12442,pop
12443,rock
12444,pop
12445,pop
12446,rock
12447,pop
12448,pop
12449,pop
12450,pop
12451,pop
12452,pop
12453,pop
12454,pop
12455,pop
12456,rock
12457,alternative
12458,rock
12459,pop
12460,rock
12461,pop
12462,pop
12463,pop
12464,pop
12465,pop
12466,pop
12467,pop
12468,pop
12469,rock
12470,pop
12471,pop
12472,pop
12473,pop
12474,pop
12475,pop
12476,rock
12477,pop
12478,pop
12479,pop
12480,pop
12481,pop
12482,pop
12483,pop
12484,pop
12485,pop
12486,pop
12487,pop
12488,pop
12489,pop
12490,pop
12491,pop
12492,pop
12493,pop
12494,rock
12495,rock
12496,pop
12497,pop
12498,pop
12499,pop
12500,rock
12501,pop
12502,pop
12503,pop
12504,pop
12505,pop
12506,pop
12507,pop
12508,pop
12509,pop
12510,pop
12511,pop
12512,pop
12513,pop
12514,pop
12515,pop
12516,pop
12517,pop
12518,rock
12519,pop
12520,pop
12521,rock
12522,pop
12523,pop
12524,pop
12525,pop
12526,pop
12527,pop
12528,pop
12529,rock
12530,pop
12531,pop
12532,alternative
12533,rock
12534,pop
12535,pop
12536,pop
12537,pop
12538,rock
12539,pop
12540,rock
12541,rock
12542,pop
12543,pop
12544,rock
12545,pop
12546,pop
12547,pop
12548,rock
12549,pop
12550,pop
12551,pop
12552,rock
12553,pop
12554,pop
12555,pop
12556,rock
12557,pop
12558,rock
12559,pop
12560,pop
12561,pop
12562,pop
12563,pop
12564,pop
12565,pop
12566,pop
12567,pop
12568,alternative
12569,pop
12570,rock
12571,pop
12572,pop
12573,pop
12574,pop
12575,pop
12576,pop
12577,pop
12578,pop
12579,pop
12580,pop
12581,pop
12582,pop
12583,pop
12584,pop
12585,pop
12586,rock
12587,rock
12588,pop
12589,pop
12590,rock
12591,pop
12592,pop
12593,pop
12594,pop
12595,pop
12596,pop
12597,pop
12598,pop
12599,pop
12600,pop
12601,pop
12602,pop
12603,pop
12604,pop
12605,pop
12606,pop
12607,rock
12608,pop
12609,pop
12610,pop
12611,pop
12612,pop
12613,rock
12614,pop
12615,pop
12616,rock
12617,pop
12618,rock
12619,pop
12620,pop
12621,rock
12622,pop
12623,pop
12624,pop
12625,pop
12626,pop
12627,pop
12628,pop
12629,pop
12630,pop
12631,pop
12632,pop
12633,pop
12634,pop
12635,pop
12636,pop
12637,rock
12638,pop
12639,pop
12640,pop
12641,rock
12642,pop
12643,pop
12644,pop
12645,rock
12646,pop
12647,rock
12648,pop
12649,pop
12650,pop
12651,pop
12652,pop
12653,rock
12654,pop
12655,pop
12656,rock
12657,rock
12658,rock
12659,pop
12660,rock
12661,rock
12662,pop
12663,pop
12664,pop
12665,pop
12666,pop
12667,rock
12668,pop
12669,pop
12670,pop
12671,pop
12672,rock
12673,pop
12674,pop
12675,pop
12676,rock
12677,pop
12678,rock
12679,pop
12680,pop
12681,pop
12682,pop
12683,pop
12684,pop
12685,pop
12686,pop
12687,pop
12688,pop
12689,rock
12690,pop
12691,rock
12692,pop
12693,pop
12694,rock
12695,pop
12696,rock
12697,pop
12698,rock
12699,pop
12700,pop
12701,pop
12702,rock
12703,pop
12704,rock
12705,pop
12706,pop
12707,rock
12708,pop
12709,pop
12710,pop
12711,rock
12712,pop
12713,pop
12714,pop
12715,rock
12716,rock
12717,pop
12718,pop
12719,pop
12720,pop
12721,pop
12722,pop
12723,pop
12724,pop
12725,pop
12726,rock
12727,rock
12728,rock
12729,pop
12730,rock
