Id,Category
12000,pop
12001,rusrap
12002,pop
12003,electronics
12004,pop
12005,pop
12006,estrada
12007,pop
12008,rock
12009,pop
12010,pop
12011,rock
12012,rock
12013,classical
12014,rock
12015,pop
12016,pop
12017,rock
12018,electronics
12019,pop
12020,shanson
12021,pop
12022,pop
12023,pop
12024,pop
12025,pop
12026,pop
12027,rusrap
12028,pop
12029,pop
12030,rap
12031,pop
12032,classical
12033,pop
12034,rap
12035,pop
12036,rock
12037,pop
12038,pop
12039,rock
12040,dance
12041,pop
12042,electronics
12043,pop
12044,electronics
12045,pop
12046,pop
12047,pop
12048,pop
12049,pop
12050,pop
12051,electronics
12052,pop
12053,electronics
12054,pop
12055,pop
12056,dance
12057,pop
12058,pop
12059,rock
12060,alternative
12061,rock
12062,pop
12063,pop
12064,rap
12065,electronics
12066,pop
12067,pop
12068,rap
12069,shanson
12070,shanson
12071,pop
12072,pop
12073,pop
12074,pop
12075,rap
12076,rap
12077,rap
12078,dance
12079,estrada
12080,dance
12081,rap
12082,rap
12083,rap
12084,pop
12085,rock
12086,pop
12087,pop
12088,electronics
12089,rock
12090,pop
12091,dance
12092,shanson
12093,pop
12094,rock
12095,shanson
12096,dance
12097,rock
12098,rap
12099,rock
12100,pop
12101,rusrock
12102,rock
12103,pop
12104,shanson
12105,dance
12106,pop
12107,electronics
12108,pop
12109,rap
12110,pop
12111,pop
12112,pop
12113,rock
12114,dance
12115,pop
12116,pop
12117,rock
12118,rock
12119,pop
12120,rock
12121,soundtrack
12122,pop
12123,electronics
12124,pop
12125,rock
12126,rap
12127,pop
12128,rock
12129,pop
12130,pop
12131,rock
12132,electronics
12133,rock
12134,pop
12135,pop
12136,rock
12137,electronics
12138,pop
12139,pop
12140,pop
12141,pop
12142,pop
12143,rock
12144,rap
12145,rusrock
12146,rusrock
12147,pop
12148,pop
12149,pop
12150,electronics
12151,rock
12152,pop
12153,electronics
12154,pop
12155,rap
12156,rusrap
12157,pop
12158,pop
12159,soundtrack
12160,rnb
12161,rock
12162,rusrap
12163,pop
12164,pop
12165,pop
12166,pop
12167,pop
12168,pop
12169,pop
12170,pop
12171,pop
12172,dance
12173,pop
12174,pop
12175,electronics
12176,pop
12177,pop
12178,rock
12179,rock
12180,rap
12181,rock
12182,pop
12183,rock
12184,pop
12185,classical
12186,pop
12187,pop
12188,pop
12189,soundtrack
12190,rap
12191,pop
12192,soundtrack
12193,pop
12194,alternative
12195,pop
12196,rock
12197,rock
12198,dance
12199,pop
12200,pop
12201,rap
12202,pop
12203,pop
12204,rock
12205,estrada
12206,pop
12207,pop
12208,pop
12209,rap
12210,electronics
12211,pop
12212,pop
12213,rock
12214,pop
12215,rock
12216,pop
12217,pop
12218,electronics
12219,pop
12220,dance
12221,pop
12222,pop
12223,pop
12224,electronics
12225,punk
12226,rap
12227,pop
12228,dance
12229,pop
12230,shanson
12231,pop
12232,pop
12233,metal
12234,classical
12235,pop
12236,pop
12237,shanson
12238,pop
12239,pop
12240,shanson
12241,pop
12242,pop
12243,rock
12244,electronics
12245,estrada
12246,punk
12247,pop
12248,rock
12249,pop
12250,rock
12251,rock
12252,pop
12253,pop
12254,shanson
12255,pop
12256,pop
12257,pop
12258,pop
12259,pop
12260,rock
12261,pop
12262,rap
12263,pop
12264,pop
12265,pop
12266,pop
12267,rap
12268,pop
12269,rock
12270,pop
12271,pop
12272,electronics
12273,rap
12274,pop
12275,pop
12276,rap
12277,pop
12278,rap
12279,pop
12280,rock
12281,punk
12282,pop
12283,electronics
12284,pop
12285,pop
12286,pop
12287,rap
12288,pop
12289,rap
12290,pop
12291,pop
12292,pop
12293,shanson
12294,pop
12295,electronics
12296,pop
12297,pop
12298,rock
12299,estrada
12300,electronics
12301,rock
12302,pop
12303,shanson
12304,pop
12305,pop
12306,pop
12307,pop
12308,pop
12309,pop
12310,electronics
12311,rock
12312,rock
12313,pop
12314,rock
12315,rock
12316,pop
12317,electronics
12318,pop
12319,pop
12320,pop
12321,rusrock
12322,pop
12323,rock
12324,pop
12325,metal
12326,electronics
12327,pop
12328,electronics
12329,pop
12330,dance
12331,pop
12332,rock
12333,rock
12334,rock
12335,pop
12336,pop
12337,estrada
12338,rock
12339,rap
12340,pop
12341,pop
12342,pop
12343,pop
12344,rap
12345,pop
12346,pop
12347,pop
12348,pop
12349,rock
12350,pop
12351,rap
12352,rock
12353,rock
12354,shanson
12355,pop
12356,pop
12357,pop
12358,rock
12359,pop
12360,pop
12361,pop
12362,pop
12363,trance
12364,dance
12365,pop
12366,pop
12367,rock
12368,classical
12369,pop
12370,pop
12371,shanson
12372,rock
12373,pop
12374,pop
12375,pop
12376,pop
12377,pop
12378,pop
12379,rock
12380,pop
12381,rap
12382,electronics
12383,pop
12384,pop
12385,rap
12386,pop
12387,rap
12388,pop
12389,electronics
12390,rock
12391,pop
12392,pop
12393,pop
12394,pop
12395,pop
12396,rap
12397,pop
12398,rock
12399,pop
12400,pop
12401,electronics
12402,pop
12403,pop
12404,pop
12405,rap
12406,dance
12407,rock
12408,rock
12409,electronics
12410,pop
12411,dance
12412,pop
12413,pop
12414,rock
12415,pop
12416,pop
12417,rap
12418,pop
12419,pop
12420,pop
12421,rap
12422,pop
12423,rock
12424,pop
12425,pop
12426,pop
12427,rusrock
12428,estrada
12429,pop
12430,pop
12431,rock
12432,rock
12433,pop
12434,shanson
12435,rock
12436,pop
12437,pop
12438,pop
12439,pop
12440,electronics
12441,pop
12442,pop
12443,pop
12444,pop
12445,soundtrack
12446,rock
12447,pop
12448,rap
12449,pop
12450,pop
12451,pop
12452,pop
12453,pop
12454,pop
12455,pop
12456,rock
12457,rock
12458,pop
12459,shanson
12460,rock
12461,pop
12462,rnb
12463,pop
12464,pop
12465,pop
12466,pop
12467,pop
12468,pop
12469,rock
12470,rusrap
12471,rock
12472,rap
12473,pop
12474,electronics
12475,pop
12476,rock
12477,rusrock
12478,rusrock
12479,rusrap
12480,pop
12481,pop
12482,pop
12483,rap
12484,pop
12485,rock
12486,electronics
12487,pop
12488,rap
12489,pop
12490,pop
12491,rusrock
12492,rap
12493,pop
12494,electronics
12495,rock
12496,pop
12497,dance
12498,pop
12499,pop
12500,rock
12501,pop
12502,soundtrack
12503,rap
12504,electronics
12505,pop
12506,rock
12507,rock
12508,pop
12509,rock
12510,rock
12511,rap
12512,pop
12513,rock
12514,dance
12515,pop
12516,pop
12517,pop
12518,pop
12519,pop
12520,pop
12521,electronics
12522,rap
12523,shanson
12524,pop
12525,rap
12526,pop
12527,rap
12528,rap
12529,pop
12530,pop
12531,rap
12532,pop
12533,rock
12534,classical
12535,rock
12536,pop
12537,pop
12538,metal
12539,pop
12540,rock
12541,electronics
12542,dance
12543,house
12544,metal
12545,electronics
12546,soundtrack
12547,rap
12548,rock
12549,dance
12550,pop
12551,pop
12552,pop
12553,pop
12554,rap
12555,pop
12556,metal
12557,pop
12558,rock
12559,pop
12560,rap
12561,pop
12562,rusrap
12563,rusrap
12564,pop
12565,pop
12566,pop
12567,rock
12568,metal
12569,pop
12570,pop
12571,pop
12572,pop
12573,estrada
12574,pop
12575,pop
12576,rap
12577,rock
12578,pop
12579,pop
12580,rock
12581,shanson
12582,pop
12583,pop
12584,pop
12585,pop
12586,rock
12587,pop
12588,electronics
12589,house
12590,pop
12591,electronics
12592,pop
12593,pop
12594,pop
12595,pop
12596,pop
12597,metal
12598,pop
12599,electronics
12600,shanson
12601,pop
12602,pop
12603,electronics
12604,rap
12605,pop
12606,rap
12607,metal
12608,pop
12609,pop
12610,rock
12611,pop
12612,rusrap
12613,pop
12614,electronics
12615,pop
12616,rock
12617,pop
12618,pop
12619,rap
12620,pop
12621,metal
12622,rap
12623,pop
12624,pop
12625,pop
12626,pop
12627,pop
12628,rock
12629,rock
12630,pop
12631,rap
12632,pop
12633,rusrap
12634,dance
12635,pop
12636,pop
12637,rock
12638,electronics
12639,alternative
12640,rusrap
12641,rock
12642,pop
12643,pop
12644,pop
12645,pop
12646,pop
12647,rock
12648,pop
12649,pop
12650,pop
12651,shanson
12652,pop
12653,pop
12654,pop
12655,pop
12656,rock
12657,pop
12658,electronics
12659,rap
12660,rock
12661,pop
12662,dance
12663,pop
12664,electronics
12665,pop
12666,pop
12667,rock
12668,pop
12669,pop
12670,pop
12671,pop
12672,rap
12673,pop
12674,rusrap
12675,pop
12676,metal
12677,pop
12678,pop
12679,pop
12680,pop
12681,rap
12682,pop
12683,pop
12684,rusrock
12685,shanson
12686,pop
12687,shanson
12688,electronics
12689,shanson
12690,pop
12691,rock
12692,pop
12693,electronics
12694,rock
12695,pop
12696,pop
12697,dance
12698,rock
12699,pop
12700,rap
12701,rap
12702,pop
12703,pop
12704,rock
12705,pop
12706,pop
12707,rock
12708,pop
12709,pop
12710,rap
12711,pop
12712,classical
12713,rap
12714,pop
12715,rock
12716,estrada
12717,pop
12718,pop
12719,pop
12720,pop
12721,pop
12722,pop
12723,rap
12724,rusrap
